plz,building_count,total_roof_m2,avg_roof_m2,area_km2,buildings_per_km2
83119,1090,177974.3745170365,163.27924267618027,97.73653975361933,11.152430838535347
83122,547,97399.27720341965,178.06083583806154,74.7671671216688,7.316045545899385
83123,942,163731.52074634883,173.81265472011555,89.35185023490061,10.542590864358589
83125,459,94084.4456167283,204.97700570093312,54.637172407668295,8.40087397962746
83126,465,89710.5410342421,192.92589469729484,68.05827921292288,6.832379621959439
83128,477,83766.81836415274,175.61177854120072,51.057967399389916,9.342322546230063
83129,206,39118.30526367826,189.89468574601096,36.39299905887089,5.660429349797896
83131,363,67094.27278386439,184.8327073935658,63.85036757561659,5.685166958046202
83132,457,80676.64063273168,176.5353186711853,61.914976021848055,7.381089832591352
83134,681,120975.14595830995,177.6433861355506,36.516400493585714,18.64915464818667
83135,1067,200263.48328924287,187.688362970237,70.0152491188807,15.239537292630539
83137,376,57931.40484433792,154.07288522430298,30.472881437565196,12.338839724440666
83139,857,142774.86187002418,166.59843858812624,57.21365092230583,14.978942720571643
83209,2213,366976.40468719444,165.82756651025505,89.08881437784103,24.840379967503946
83224,3238,500002.5359794191,154.41708955510163,122.884941704817,26.349851780684638
83229,1907,308899.8281977989,161.9820808588353,175.24944657996048,10.881632080532132
83233,1582,248114.88288951505,156.8362091589855,59.60199298648028,26.54273658867163
83236,1893,294147.91875708074,155.38717314161687,67.72679905636919,27.950531050854053
83242,1068,161221.71813698174,150.95666492226755,157.61222433441347,6.776124152235634
83246,1682,254705.14913452507,151.4299340871136,88.65843788178717,18.971685495324163
83250,1161,178975.70329218323,154.15650585028703,29.347625281207325,39.5602706820522
83253,1525,230945.31535187384,151.43955105040908,43.98284822669957,34.67260674296796
83254,489,82505.51417416436,168.72293287150177,18.657683669303843,26.209041200785112
83256,116,18390.924637381235,158.54245377052789,134.40773649392773,0.8630455584321267
83257,427,66275.56622738442,155.21209889317194,23.089317665207027,18.493400549616084
83259,737,118620.5189171151,160.9505005659635,99.9307213892795,7.375109373312949
83278,5190,839052.7289039319,161.66719246703892,107.89391641115611,48.102804797837145
83301,1496,292778.8181145535,195.70776611935395,49.79896322998412,30.040786051932372
83308,2886,470385.14996502455,162.98861745149847,115.090923040414,25.075826344590055
83313,3754,586011.8401806938,156.10331384674848,125.90097735024786,29.817083862316892
83317,2444,388653.5112923262,159.02353162533805,158.08128061822927,15.460401069892194
83324,2517,392979.48957380553,156.13011107421752,326.7285478159523,7.703642723677264
83329,2316,353482.3318516222,152.62622273386106,130.00422419932917,17.81480574391944
83334,1891,288528.30740850815,152.5797500838224,100.64367990663058,18.789058605113837
83339,1450,238530.02536645767,164.5034657699708,83.76217783163806,17.310915708453752
83342,1829,301751.7940852485,164.9818447705022,113.12332249871659,16.168195555083262
83346,1741,271414.9545608497,155.89601066102796,82.28371087217243,21.158501257978504
83349,943,164152.85169531667,174.07513435346414,120.22997230182847,7.843302147925877
83352,1099,190701.8667723952,173.52308168552796,58.55479778475722,18.768743836155608
83355,1078,182819.87960472069,169.5917250507613,83.68130620687492,12.882208092390362
83358,334,57894.687822290376,173.33738868949214,24.23211895222511,13.783359212559928
83361,307,53345.211318643414,173.76290331805671,50.848856358609865,6.037500584770142
83362,1278,195291.72376688902,152.81042548269875,52.84362288814076,24.184564383582615
83364,470,75398.672093445,160.42270658179788,33.960619548123134,13.839559061459319
83365,738,118157.62909259116,160.10518847234576,35.8244195321505,20.600473354151195
83367,1008,161248.2450937263,159.96849711679195,66.51805070517068,15.153781406911323
83368,399,74380.03799164748,186.41613531741223,15.207180033076293,26.237606126326988
83370,434,77069.14371194088,177.57867214732923,53.4051171823234,8.126562076782596
83371,314,52697.11287056374,167.82520022472528,7.533473566022221,41.68064004581042
83373,496,87196.22594471718,175.7988426304782,60.11617422841022,8.25069137160089
83374,766,127913.3594978781,166.98871997112025,28.07804034538679,27.281106180398144
83376,485,75421.512403464,155.508272996833,29.53685064309093,16.42016631564774
83377,716,108937.2242859961,152.14696129329064,22.12482399069256,32.36183936655071
83379,744,111488.95602946905,149.8507473514369,39.91568701412414,18.639288351387666
83395,1405,271661.64022954827,193.35348059042582,32.36661870423237,43.408921173971045
83404,1049,200050.72687736855,190.70612667051338,72.9232505124682,14.384986854372942
83410,2295,366143.03447067895,159.53944857110193,78.73196931404965,29.149531251347213
83413,1577,270289.64639133745,171.39482967110808,98.80668252894937,15.960458945051158
83416,784,143738.1712698884,183.33950417077602,87.54490261745012,8.955404330345639
83417,828,146946.8469154056,177.47203733744638,55.29819900022942,14.973362875643831
83435,1882,347534.53925976664,184.6623481720333,93.64433979458354,20.0973171910691
83451,588,101604.02953113864,172.79596859037184,38.278316018949816,15.361177323184974
83454,1258,192375.0477555953,152.92134161812027,100.92769424820612,12.464368767865313
83457,324,59531.63035341418,183.73959985621659,27.486539993977768,11.787587672765929
83458,505,81005.93702871619,160.4077960964677,236.13025864142966,2.1386500946787024
83471,2273,381504.739648494,167.8419444120079,430.84259051212456,5.2757086928155825
83483,892,161833.63853648477,181.42784589292015,137.22544375883803,6.500252253274645
83486,370,67302.6743794393,181.89911994443054,284.18255449093857,1.3019799919202915
83487,411,68005.48903407059,165.46347696854158,39.55383266375319,10.390902026964305
83512,2224,378814.75485988933,170.3303753866409,42.36945937059971,52.490639083850105
83527,2105,342747.04373019724,162.8251989217089,94.02351176974427,22.3880172137685
83530,942,162868.92535197016,172.89694835665622,135.36433797423038,6.958996838438575
83533,1021,187882.54600343198,184.01816454792555,45.45511140388848,22.46172033169097
83536,881,146568.05521354536,166.36555642854185,55.629409899242965,15.836946708506954
83539,662,111905.29664165084,169.0412335976599,78.78150263646184,8.40298772993461
83543,884,168892.5381606029,191.0549074214965,44.00243455917741,20.089797504525297
83544,526,88374.25025389157,168.01188261196117,40.53415501810774,12.976710622560681
83546,120,19879.743252358454,165.6645271029871,17.02265568510124,7.04942884470299
83547,881,153393.6836858427,174.11314833807344,121.84130274146234,7.230717172069415
83549,1088,174472.8334555853,160.36106016138353,77.11991146880406,14.107900012827546
83550,477,82519.61171165948,172.99708954226307,38.50459177167037,12.388132896683539
83553,301,54200.049020800136,180.06660804252536,50.62232874418166,5.945992755906075
83555,378,65211.90307544675,172.5182621043565,9.908232673706928,38.150093205126595
83556,812,129338.44917704207,159.28380440522423,65.60183141525633,12.377703220815292
83558,715,116621.12206673836,163.1064644290047,68.48085322907367,10.440874584437061
83559,231,37250.24076917189,161.25645354619866,16.523095873868254,13.980430892816708
83561,256,43831.15987602705,171.21546826573066,17.85919847566384,14.334349906511374
83562,725,112944.31434534615,155.78526116599468,55.073425622652536,13.164243767356947
83564,629,108893.24441564732,173.12121528719766,65.10048249088905,9.661986761588594
83565,9,1871.2515512525865,207.91683902806517,2.0098608758563192,4.4779218841032815
83567,615,105800.55867863946,172.0334287457552,71.79842052099866,8.565648039849746
83569,1009,174696.38034010393,173.1381371061486,76.19218960199254,13.242827188334449
83607,3486,570265.1507788264,163.58724921939944,108.51972041882746,32.12319370659936
83620,2287,367423.1930343023,160.65727723406312,118.41192053942645,19.313933847044733
83623,1463,232693.0125362378,159.05195662080507,213.9767479054461,6.837191490761805
83624,1473,238574.72655041525,161.96519114081144,47.10864933497843,31.268143340851196
83626,1056,161118.33977792488,152.57418539576219,93.12095209782615,11.340090239741563
83627,1270,207518.2302628899,163.40018130936213,113.54217518849741,11.185271005171474
83629,809,129972.28232487668,160.65795095782036,103.64625413429417,7.805395445857416
83646,2700,463555.13311073073,171.68708633730768,214.08387862118448,12.611879126020392
83661,3110,504521.2050484034,162.22546786122297,532.0440608177784,5.845380540889366
83666,943,155947.5557097774,165.373866076116,93.9566739948187,10.036540885344689
83670,1016,169388.2952148478,166.72076300673996,88.88834195163287,11.430070329727151
83671,1035,160947.34869782144,155.50468473219462,83.07346900706135,12.458851332090438
83673,423,65050.31662714248,153.78325443768907,30.878935179770824,13.698658892781788
83674,710,112715.7241604585,158.7545410710683,84.65580615021962,8.386902591655943
83676,483,74001.03359147804,153.2112496717972,283.7275960049966,1.702337054276152
83677,1319,214526.3624091021,162.64318605693865,51.015658517950946,25.854806902784205
83679,473,77537.70140773337,163.92748711994372,35.33217944452414,13.387229642673702
83684,584,90571.17751825231,155.0876327367334,50.06445985018712,11.664961566499699
83700,1376,203394.99565032622,147.8161305598301,133.46527016019635,10.309798184564478
83703,856,141493.5547361905,165.29620880396087,75.34351186321292,11.361296796917014
83707,714,107406.51763909508,150.42929641329843,72.48242556979633,9.850663721407333
83708,567,88660.77420684653,156.36820847768348,265.81975787464063,2.1330242888393367
83714,1423,242187.73151128346,170.1951732335091,72.34205567982455,19.67043909144622
83727,1516,238764.6984467369,157.49650293320377,178.96503339463655,8.47092848946119
83730,1412,228013.72692130506,161.48280943435202,167.2499713598994,8.442452865726155
83734,960,158239.91825447386,164.8332481817436,49.2043536158701,19.510468677112485
83735,526,88962.59054557435,169.1304002767573,170.82281839946936,3.0792139184236405
83737,594,100708.36411656062,169.54270053293035,119.65296436385731,4.9643567391584424
84028,1227,230064.90070784526,187.50195656711105,9.235076486789511,132.86300354471186
84030,1903,392996.9249963374,206.51441145367178,93.64588981601675,20.321233571903335
84032,1601,337979.0445670574,211.10496225300275,59.77434197134345,26.784067330553615
84034,1508,283765.2573680709,188.17324759155895,48.83258261119424,30.88102081363828
84036,4623,840379.2218958609,181.78222407438045,160.63107099332194,28.78023517749064
84048,2102,369179.8298161441,175.63264976981165,140.17302745659507,14.995752307988708
84051,2184,399143.99536222266,182.75823963471734,191.011848076135,11.433845711651793
84056,2819,449680.2465479875,159.51764687761175,208.02278210026859,13.551400339609055
84061,1360,284820.257432104,209.42665987654703,130.61616692554458,10.4121873425917
84066,1724,280277.1769683507,162.57376854312687,166.14295861632866,10.376605872182681
84069,1392,256737.7060926188,184.43800725044454,178.1172774398775,7.815075662549703
84072,1650,260128.758039494,157.65379275120847,125.86211249135792,13.109584507516463
84076,1751,282125.379781353,161.1224327706185,164.40974187957892,10.650220479529194
